joke|categoryId
If you spell Chuck Norris in Scrabble, you win. Forever.|NULL
Someone once videotaped Chuck Norris getting pissed off. It was called Walker: Texas Chain Saw Masacre.|NULL
Chuck Norris will attain statehood in 2009. His state flower will be the Magnolia.|NULL
A handicapped parking sign does not signify that this spot is for handicapped people. It is actually in fact a warning, that the spot belongs to Chuck Norris and that you will be handicapped if you park there.|NULL
Chuck Norris doesn't wash his clothes. He disembowels them.|NULL
Chuck Norris doesn't churn butter. He roundhouse kicks the cows and the butter comes straight out.|NULL
Police label anyone attacking Chuck Norris as a Code 45-11.... A suicide.|NULL
Chuck Norris is the only man to ever defeat a brick wall in a game of tennis.|NULL
What was going through the minds of all of Chuck Norris' victims before they died? His shoe.|NULL
Chuck Norris once ate three 72 oz. steaks in one hour. He spent the first 45 minutes having sex with his waitress.|5
There is no theory of evolution, just a list of creatures Chuck Norris allows to live.|NULL
Chuck Norris can win a game of Connect Four in only three moves.|NULL
CNN was originally created as the 'Chuck Norris Network' to update Americans with on-the-spot ass kicking in real-time.|NULL
Chuck Norris invented Kentucky Fried Chicken's famous secret recipe with eleven herbs and spices. Nobody ever mentions the twelfth ingredient: Fear.|NULL
The quickest way to a man's heart is with Chuck Norris' fist.|NULL
When Chuck Norris sends in his taxes, he sends blank forms and includes only a picture of himself, crouched and ready to attack. Chuck Norris has not had to pay taxes, ever.|NULL
Chuck Norris drives an ice cream truck covered in human skulls.|NULL
Most people have 23 pairs of chromosomes. Chuck Norris has 72... and they're all poisonous.|NULL
The Great Wall of China was originally created to keep Chuck Norris out. It failed miserably.|NULL
Chuck Norris is ten feet tall, weighs two-tons, breathes fire, and could eat a hammer and take a shotgun blast standing.|NULL
Crop circles are Chuck Norris' way of telling the world that sometimes corn needs to lie down.|NULL
Chuck Norris once roundhouse kicked someone so hard that his foot broke the speed of light, went back in time, and killed Amelia Earhart while she was flying over the Pacific Ocean.|NULL
When Chuck Norris calls 1-900 numbers, he doesn't get charged. He holds up the phone and money falls out.|NULL
Chuck Norris once ate a whole cake before his friends could tell him there was a stripper in it.|NULL
Some people like to eat frogs' legs. Chuck Norris likes to eat lizard legs. Hence, snakes.|NULL
There are no races, only countries of people Chuck Norris has beaten to different shades of black and blue.|NULL
When Chuck Norris was denied an Egg McMuffin at McDonald's because it was 10:35, he roundhouse kicked the store so hard it became a Wendy's.|NULL
Chuck Norris can't finish a 'color by numbers' because his markers are filled with the blood of his victims. Unfortunately, all blood is dark red.|NULL
A Chuck Norris-delivered Roundhouse Kick is the preferred method of execution in 16 states.|NULL
When Chuck Norris falls in water, Chuck Norris doesn't get wet. Water gets Chuck Norris.|NULL
Scientists have estimated that the energy given off during the Big Bang is roughly equal to 1CNRhK (Chuck Norris Roundhouse Kick).|10
Chuck Norris' house has no doors, only walls that he walks through.|NULL
When Chuck Norris has sex with a man, it won't be because he is gay. It will be because he has run out of women.|5
How much wood would a woodchuck chuck if a woodchuck could Chuck Norris? All of it.|NULL
Chuck Norris doesn't actually write books, the words assemble themselves out of fear.|NULL
In honor of Chuck Norris, all McDonald's in Texas have an even larger size than the super-size. When ordering, just ask to be Chucksized.|NULL
Chuck Norris can believe it's not butter.|NULL
If tapped, a Chuck Norris roundhouse kick could power the country of Australia for 44 minutes.|NULL
Chuck Norris can divide by zero.|NULL
The grass is always greener on the other side, unless Chuck Norris has been there. In that case the grass is most likely soaked in blood and tears.|NULL
Newton's Third Law is wrong: Although it states that for each action, there is an equal and opposite reaction, there is no force equal in reaction to a Chuck Norris roundhouse kick.|NULL
Chuck Norris invented his own type of karate. It's called Chuck-Will-Kill.|NULL
When an episode of Walker Texas Ranger was aired in France, the French surrendered to Chuck Norris just to be on the safe side.|NULL
While urinating, Chuck Norris is easily capable of welding titanium.|NULL
When Chuck Norris talks, everybody listens. And dies.|NULL
When Steven Seagal kills a ninja, he only takes its hide. When Chuck Norris kills a ninja, he uses every part.|NULL
Wilt Chamberlain claims to have slept with more than 20,000 women in his lifetime. Chuck Norris calls this 'a slow Tuesday.'|NULL
Contrary to popular belief, there is indeed enough Chuck Norris to go around.|NULL
Chuck Norris doesnt shave; he kicks himself in the face. The only thing that can cut Chuck Norris is Chuck Norris.|NULL
For some, the left testicle is larger than the right one. For Chuck Norris, each testicle is larger than the other one.|5
Chuck Norris always knows the EXACT location of Carmen SanDiego.|NULL
When taking the SAT, write 'Chuck Norris' for every answer. You will score over 8000.|NULL
Chuck Norris invented black. In fact, he invented the entire spectrum of visible light. Except pink. Tom Cruise invented pink.|NULL
When you're Chuck Norris, anything + anything is equal to 1. One roundhouse kick to the face.|NULL
Chuck Norris has the greatest Poker-Face of all time. He won the 1983 World Series of Poker, despite holding only a Joker, a Get out of Jail Free Monopoloy card, a 2 of clubs, 7 of spades and a green #4 card from the game UNO.|NULL
On his birthday, Chuck Norris randomly selects one lucky child to be thrown into the sun.|NULL
Nobody doesn't like Sara Lee. Except Chuck Norris.|NULL
Chuck Norris doesn't throw up if he drinks too much. Chuck Norris throws down!|NULL
In the beginning there was nothing...then Chuck Norris Roundhouse kicked that nothing in the face and said 'Get a job'. That is the story of the universe.|NULL
Chuck Norris has 12 moons. One of those moons is the Earth.|NULL
Chuck Norris grinds his coffee with his teeth and boils the water with his own rage.|NULL
Archeologists unearthed an old english dictionary dating back to the year 1236. It defined 'victim' as 'one who has encountered Chuck Norris'|NULL
Chuck Norris ordered a Big Mac at Burger King, and got one.|NULL
Chuck Norris and Mr. T walked into a bar. The bar was instantly destroyed, as that level of awesome cannot be contained in one building.|NULL
If you Google search 'Chuck Norris getting his ass kicked' you will generate zero results. It just doesn't happen.|NULL
Chuck Norris can drink an entire gallon of milk in thirty-seven seconds.|NULL
Little known medical fact: Chuck Norris invented the Caesarean section when he roundhouse-kicked his way out of his monther's womb.|NULL
Chuck Norris doesn't bowl strikes, he just knocks down one pin and the other nine faint.|NULL
The show Survivor had the original premise of putting people on an island with Chuck Norris. There were no survivors, and nobody is brave enough to go to the island to retrieve the footage.|NULL
It takes Chuck Norris 20 minutes to watch 60 Minutes.|NULL
You know how they say if you die in your dream then you will die in real life? In actuality, if you dream of death then Chuck Norris will find you and kill you.|NULL
Chuck Norris has a deep and abiding respect for human life... unless it gets in his way.|NULL
The Bermuda Triangle used to be the Bermuda Square, until Chuck Norris Roundhouse kicked one of the corners off.|NULL
Chuck Norris doesn't believe in Germany.|NULL
When Chuck Norris is in a crowded area, he doesn't walk around people. He walks through them.|NULL
Chuck Norris once ate an entire bottle of sleeping pills. They made him blink.|NULL
James Cameron wanted Chuck Norris to play the Terminator. However, upon reflection, he realized that would have turned his movie into a documentary, so he went with Arnold Schwarzenegger.|NULL
Chuck Norris can touch MC Hammer.|NULL
Thousands of years ago Chuck Norris came across a bear. It was so terrified that it fled north into the arctic. It was also so terrified that all of its decendents now have white hair.|NULL
Chuck Norris played Russian Roulette with a fully loaded gun and won.|NULL
It takes 14 puppeteers to make Chuck Norris smile, but only 2 to make him destroy an orphanage.|NULL
Chuck Norris is responsible for China's over-population. He hosted a Karate tournament in Beijing and all women within 1,000 miles became pregnant instantly.|NULL
Some people wear Superman pajamas. Superman wears Chuck Norris pajamas.|NULL
Chuck Norris once worked as a weatherman for the San Diego evening news. Every night he would make the same forecast: Partly cloudy with a 75% chance of Pain.|NULL
Simply by pulling on both ends, Chuck Norris can stretch diamonds back into coal.|NULL
When Chuck Norris does a pushup, he isn't lifting himself up, he's pushing the Earth down.|NULL
Chuck Norris invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.|NULL
A high tide means Chuck Norris is flying over your coast. The tide is caused by God pissing his pants.|NULL
Chuck Norris keeps his friends close and his enemies closer. Close enough to drop them with one round house kick to the face.|NULL
There is in fact an 'I' in Norris, but there is no 'team'. Not even close.|NULL
Scotty in Star Trek often says 'Ye cannae change the laws of physics.' This is untrue. Chuck Norris can change the laws of physics. With his fists.|NULL
An anagram for Walker Texas Ranger is KARATE WRANGLER SEX. I don't know what that is, but it sounds AWESOME.|NULL
Chuck Norris doesn't stub his toes. He accidentally destroys chairs, bedframes, and sidewalks.|NULL
Using his trademark roundhouse kick, Chuck Norris once made a fieldgoal in RJ Stadium in Tampa Bay from the 50 yard line of Qualcomm stadium in San Diego.|NULL
Chuck Norris roundhouse kicks don't really kill people. They wipe out their entire existence from the space-time continuum.|NULL
Chuck Norris does not own a stove, oven, or microwave , because revenge is a dish best served cold.|NULL
Tom Clancy has to pay royalties to Chuck Norris because 'The Sum of All Fears' is the name of Chuck Norris' autobiography.|NULL
Chuck Norris can slam a revolving door.|NULL
Chuck Norris built a better mousetrap, but the world was too frightened to beat a path to his door.|NULL
The original draft of The Lord of the Rings featured Chuck Norris instead of Frodo Baggins. It was only 5 pages long, as Chuck roundhouse-kicked Sauron's ass halfway through the first chapter.|NULL
Hellen Keller's favorite color is Chuck Norris.|NULL
Chuck Norris eats beef jerky and craps gunpowder. Then, he uses that gunpowder to make a bullet, which he uses to kill a cow and make more beef jerky. Some people refer to this as the 'Circle of Life.'|NULL
If, by some incredible space-time paradox, Chuck Norris would ever fight himself, he'd win. Period.|NULL
Chuck Norris is currently suing myspace for taking the name of what he calls everything around you.|NULL
The crossing lights in Chuck Norris's home town say 'Die slowly' and 'die quickly'. They each have a picture of Chuck Norris punching or kicking a pedestrian.|NULL
Science Fact: Roundhouse kicks are comprised primarily of an element called Chucktanium.|NULL
Chuck Norris proved that we are alone in the universe. We weren't before his first space expedition.|NULL
Superman once watched an episode of Walker, Texas Ranger. He then cried himself to sleep.|NULL
Chuck Norris doesn't step on toes. Chuck Norris steps on necks.|NULL
The movie 'Delta Force' was extremely hard to make because Chuck had to downplay his abilities. The first few cuts were completely unbelievable.|NULL
Movie trivia: The movie 'Invasion U.S.A.' is, in fact, a documentary.|NULL
Chuck Norris does not 'style' his hair. It lays perfectly in place out of sheer terror.|NULL
There is no such thing as global warming. Chuck Norris was cold, so he turned the sun up.|NULL
A study showed the leading causes of death in the United States are: 1. Heart disease, 2. Chuck Norris, 3. Cancer|NULL
It's widely believed that Jesus was Chuck Norris' stunt double for crucifixion due to the fact that it is impossible for nails to pierce Chuck Norris' skin.|NULL
Chuck Norris did in fact, build Rome in a day.|NULL
Along with his black belt, Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever.|NULL
Once you go Norris, you are physically unable to go back.|NULL
Ninjas want to grow up to be just like Chuck Norris. But usually they grow up just to be killed by Chuck Norris.|NULL
Chuck Norris once sued Burger King after they refused to put razor wire in his Whopper Jr, insisting that that actually is 'his' way.|NULL
The last thing you hear before Chuck Norris gives you a roundhouse kick? No one knows because dead men tell no tales.|NULL
Chuck Norris doesn't play god. Playing is for children.|NULL
As a teen, Chuck Norris had sex with every nun in a convent tucked away in the hills of Tuscany. Nine months later the nuns gave birth to the 1972 Miami Dolphins, the only undefeated and untied team in professional football history.|NULL
Chuck Norris is the only person in the world that can actually email a roundhouse kick.|NULL
Chuck Norris won super bowls VII and VIII singlehandedly before unexpectedly retiring to pursue a career in ass-kicking.|NULL
Wo hu cang long. The translation from Mandarin Chinese reads: 'Crouching Chuck, Hidden Norris'|NULL
Chuck Norris can set ants on fire with a magnifying glass. At night.|NULL
Some kids play Kick the can. Chuck Norris played Kick the keg.|NULL
'Icy-Hot' is too weak for Chuck Norris. After a workout, Chuck Norris rubs his muscles down with liquid-hot MAGMA.|NULL
Chuck Norris cannot love, he can only not kill.|NULL
When Chuck Norris was a baby, he didn't suck his mother's breast. His mother served him whiskey, straight out of the bottle.|NULL
According to Einstein's theory of relativity, Chuck Norris can actually roundhouse kick you yesterday.|NULL
Chuck Norris once pulled out a single hair from his beard and skewered three men through the heart with it.|NULL
In an act of great philanthropy, Chuck made a generous donation to the American Cancer Society. He donated 6,000 dead bodies for scientific research.|NULL
Chuck Norris? favourite cut of meat is the roundhouse.|NULL
When J. Robert Oppenheimer said 'I am become death, the destroyer Of worlds', He was not referring to the atomic bomb. He was referring to the Chuck Norris halloween costume he was wearing.|NULL
Chuck Norris recently had the idea to sell his urine as a canned beverage. We know this beverage as Red Bull.|NULL
In a recent survey it was discovered the 94% of American women lost their virginity to Chuck Norris. The other 6% were incredibly fat or ugly.|NULL
Chuck Norris invented a language that incorporates karate and roundhouse kicks. So next time Chuck Norris is kicking your ass, don?t be offended or hurt, he may be just trying to tell you he likes your hat.|NULL
If at first you don't succeed, you're not Chuck Norris.|NULL
If Chuck Norris were a calendar, every month would be named Chucktober, and every day he'd kick your ass.|NULL
Fear is not the only emotion Chuck Norris can smell. He can also detect hope, as in 'I hope I don't get a roundhouse kick from Chuck Norris.'|NULL
# Chuck Norris's show is called Walker: Texas Ranger, because Chuck Norris doesn't run.|NULL
MacGyver can build an airplane out of gum and paper clips, but Chuck Norris can roundhouse-kick his head through a wall and take it.|NULL
Behind every successful man, there is a woman. Behind every dead man, there is Chuck Norris.|NULL
Chuck Norris brushes his teeth with a mixture of iron shavings, industrial paint remover, and wood-grain alcohol.|NULL
The easiest way to determine Chuck Norris' age is to cut him in half and count the rings.|NULL
There is endless debate about the existence of the human soul. Well it does exist and Chuck Norris finds it delicious.|NULL
Most boots are made for walkin'. Chuck Norris' boots ain't that merciful.|NULL
The US did not boycott the 1980 Summer Olympics in Moscow due to political reasons: Chuck Norris killed the entire US team with a single round-house kick during TaeKwonDo practice.|NULL
Chuck Norris wears a live rattlesnake as a condom.|NULL
The Bible was originally titled 'Chuck Norris and Friends'|NULL
Chuck Norris began selling the Total Gym as an ill-fated attempt to make his day-to-day opponents less laughably pathetic.|NULL
Do you know why Baskin Robbins only has 31 flavors? Because Chuck Norris doesn't like Fudge Ripple.|NULL
When Chuck Norris says 'More cowbell', he MEANS it.|NULL
On the set of Walker Texas Ranger Chuck Norris brought a dying lamb back to life by nuzzling it with his beard. As the onlookers gathered, the lamb sprang to life. Chuck Norris then roundhouse kicked it, killing it instantly. This was just to prove that the good Chuck givet|NULL
Chuck Norris was what Willis was talkin' about.|NULL
Google won't search for Chuck Norris because it knows you don't find Chuck Norris, he finds you.|NULL
Chuck Norris can lead a horse to water AND make it drink.|NULL
Nagasaki never had a bomb dropped on it. Chuck Norris jumped out of a plane and punched the ground|NULL
It is scientifically impossible for Chuck Norris to have had a mortal father. The most popular theory is that he went back in time and fathered himself.|NULL
Chuck Norris destroyed the periodic table, because Chuck Norris only recognizes the element of surprise.|NULL
It is believed dinosaurs are extinct due to a giant meteor. That's true if you want to call Chuck Norris a giant meteor.|NULL
Chuck Norris shot the sheriff, but he round house kicked the deputy.|NULL
That's not Chuck Norris doing push-ups -- that's Chuck Norris moving the Earth away from the path of a deadly asteroid.|NULL
Chuck Norris can judge a book by its cover.|NULL
Nothing can escape the gravity of a black hole, except for Chuck Norris. Chuck Norris eats black holes. They taste like chicken.|NULL
Chuck Norris does not play the lottery. It doesn't have nearly enough balls.|NULL
How many Chuck Norris' does it take to change a light bulb? None, Chuck Norris prefers to kill in the dark.|NULL
As President Roosevelt said: 'We have nothing to fear but fear itself. And Chuck Norris.'|NULL
Chuck Norris just says 'no' to drugs. If he said 'yes', it would collapse Colombia's infrastructure.|NULL
Crime does not pay - unless you are an undertaker following Walker, Texas Ranger, on a routine patrol.|NULL
Chuck Norris invented the internet? just so he had a place to store his porn.|NULL
Chuck Norris does not own a house. He walks into random houses and people move.|NULL
It is better to give than to receive. This is especially true of a Chuck Norris roundhouse kick.|NULL
Chuck Norris is the only person to ever win a staring contest against Ray Charles and Stevie Wonder.|NULL
Industrial logging isn't the cause of deforestation. Chuck Norris needs toothpicks.|NULL
Chuck Norris smells what the Rock is cooking... because the Rock is Chuck Norris' personal chef.|NULL
When Chuck Norris plays Oregon Trail, his family does not die from cholera or dysentery, but rather, roundhouse kicks to the face. He also requires no wagon, since he carries the oxen, axels, and buffalo meat on his back. He always makes it to Oregon before you.|NULL
Chuck Norris is the reason why Waldo is hiding.|NULL
'Brokeback Mountain' is not just a movie. It's also what Chuck Norris calls the pile of dead ninjas in his front yard.|NULL
When God said, 'let there be light', Chuck Norris said, 'say 'please'.'|NULL
Chuck Norris does not eat. Food understands that the only safe haven from Chuck Norris' fists is inside his own body.|NULL
One day Chuck Norris walked down the street with a massive erection. There were no survivors.|5
Chuck Norris built a time machine and went back in time to stop the JFK assassination. As Oswald shot, Chuck met all three bullets with his beard, deflecting them. JFK's head exploded out of sheer amazement.|NULL
Chuck Norris uses a night light. Not because Chuck Norris is afraid of the dark, but the dark is afraid of Chuck Norris.|NULL
When Bruce Banner gets mad, he turns into the Hulk. When the Hulk gets mad, he turns into Chuck Norris.|NULL
Chuck Norris kills anyone that asks: 'Do you want fries with that?'. Because by now everyone should know that Chuck doesn't want fries with anything. Ever.|NULL
Chuck Norris once kicked a horse in the chin. Its decendants are known today as Giraffes.|NULL
Sticks and stones may break your bones, but a Chuck Norris glare will liquefy your kidneys.|NULL
Human cloning is outlawed because of Chuck Norris, because then it would be possible for a Chuck Norris roundhouse kick to meet another Chuck Norris roundhouse kick. Physicists theorize that this contact would end the universe.|NULL
Chuck Norris once went skydiving, but promised never to do it again. One Grand Canyon is enough.|NULL
Chuck Norris's version of a 'chocolate milkshake' is a raw porterhouse wrapped around ten Hershey bars, and doused in diesel fuel.|NULL
In a fight between Batman and Darth Vader, the winner would be Chuck Norris.|NULL
Chuck Norris puts his pants on one leg at a time, just like the rest of us. The only difference is, then he kills people.|NULL
Everybody loves Raymond. Except Chuck Norris.|NULL
Contrary to popular belief, the Titanic didn't hit an iceberg. The ship was off course and ran into Chuck Norris while he was doing the backstroke across the Atlantic.|NULL
Chuck Norris got his drivers license at the age of 16. Seconds.|NULL
The original title for Alien vs. Predator was Alien and Predator vs Chuck Norris. The film was cancelled shortly after going into preproduction. No one would pay nine dollars to see a movie fourteen seconds long.|NULL
Chuck Norris? sperm is so badass, he had sex with Nicole Kidman, and 7 months later she prematurely gave birth to a Ford Excursion.|NULL
Chuck Norris can win at solitaire with only 18 cards.|NULL
Chuck Norris once shat blood - the blood of 11,940 natives he had killed and eaten.|NULL
Maslow's theory of higher needs does not apply to Chuck Norris. He only has two needs: killing people and finding people to kill.|NULL
The truth will set you free. Unless Chuck Norris has you, in which case, forget it buddy!|NULL
Kryptonite has been found to contain trace elements of Chuck Norris roundhouse kicks to the face. This is why it is so deadly to Superman.|NULL
Saddam Hussein was not found hiding in a 'hole.' Saddam was roundhouse-kicked in the head by Chuck Norris in Kansas, which sent him through the earth, stopping just short of the surface of Iraq.|NULL
Coroners refer to dead people as 'ABC's'. Already Been Chucked.|NULL
Chuck Norris doesn't look both ways before he crosses the street... he just roundhouses any cars that get too close.|NULL
Chuck Norris does not have to answer the phone. His beard picks up the incoming electrical impulses and translates them into audible sound.|NULL
How many roundhouse kicks does it take to get to the center of a tootsie pop? Just one. From Chuck Norris.|NULL
Chuck Norris doesnt wear a watch, HE decides what time it is.|NULL
The phrase 'break a leg' was originally coined by Chuck Norris's co-stars in Walker, Texas Ranger as a good luck charm, indicating that a broken leg might be the worst extent of their injuries. This never proved to be the case.|NULL
When Chuck Norris does division, there are no remainders.|NULL
If you rearrange the letters in 'Chuck Norris', they also spell 'Crush Rock In'. The words 'with his fists' are understood.|NULL
Never look a gift Chuck Norris in the mouth, because he will bite your damn eyes off.|NULL
Chuck Norris used to play baseball. When Babe Ruth was hailed as the better player, Chuck Norris killed him with a baseball bat to the throat. Lou Gehrig got off easy.|NULL
The original title for Star Wars was 'Skywalker: Texas Ranger'. Starring Chuck Norris.|NULL
Guantuanamo Bay, Cuba, is the military code-word for 'Chuck Norris' basement'.|NULL
The phrase 'balls to the wall' was originally conceived to describe Chuck Norris entering any building smaller than an aircraft hangar.|NULL
Chuck Norris? roundhouse kick is so powerful, it can be seen from outer space by the naked eye.|NULL
Ozzy Osbourne bites the heads off of bats. Chuck Norris bites the heads off of Siberian Tigers.|NULL
He who lives by the sword, dies by the sword. He who lives by Chuck Norris, dies by the roundhouse kick.|NULL
The best-laid plans of mice and men often go awry. Even the worst-laid plans of Chuck Norris come off without a hitch.|NULL
The phrase 'dead ringer' refers to someone who sits behind Chuck Norris in a movie theater and forgets to turn their cell phone off.|NULL
Staring at Chuck Norris for extended periods of time without proper eye protection will cause blindess, and possibly foot sized brusies on the face.|NULL
Chuck Norris can taste lies.|NULL
Chuck Norris does not kick ass and take names. In fact, Chuck Norris kicks ass and assigns the corpse a number. It is currently recorded to be in the billions.|NULL
One time, Chuck Norris accidentally stubbed his toe. It destroyed the entire state of Ohio.|NULL
Little Miss Muffet sat on her tuffet, until Chuck Norris roundhouse kicked her into a glacier.|NULL
Chuck Norris can blow bubbles with beef jerky.|NULL
They had to edit the first ending of 'Lone Wolf McQuade' after Chuck Norris kicked David Carradine's ass, then proceeded to barbecue and eat him.|NULL
Chuck Norris does, in fact, live in a round house.|NULL
When Chuck Norris works out on the Total Gym, the Total Gym feels like it's been raped.|NULL
4 out of 5 doctors fail to recommend Chuck Norris as a solution to most problems. Also, 80% of doctors die unexplained, needlessly brutal deaths.|NULL
Chuck Norris can skeletize a cow in two minutes.|NULL
The only sure things are Death and Taxes and when Chuck Norris goes to work for the IRS, they'll be the same thing.|NULL
Chuck Norris' first job was as a paperboy. There were no survivors.|NULL
With the rising cost of gasoline, Chuck Norris is beginning to worry about his drinking habit.|NULL
The square root of Chuck Norris is pain. Do not try to square Chuck Norris, the result is death.|NULL
Chuck Norris' testicles do not produce sperm. They produce tiny white ninjas that recognize only one mission: seek and destroy.|NULL
To be or not to be? That is the question. The answer? Chuck Norris.|NULL
Chuck Norris has never been in a fight, ever. Do you call one roundhouse kick to the face a fight?|NULL
There are two types of people in the world... people that suck, and Chuck Norris.|NULL
Chuck Norris never wet his bed as a child. The bed wet itself out of fear.|NULL
If you were somehow able to land a punch on Chuck Norris your entire arm would shatter upon impact. This is only in theory, since, come on, who in their right mind would try this?|NULL
70% of a human's weight is water. 70% of Chuck Norris' weight is his dick.|5
Jean-Claude Van Damme once kicked Chuck Norris' ass. He was then awakened from his dream by a roundhouse kick to the face.|NULL
The pie scene in 'American Pie' is based on a dare Chuck Norris took when he was younger. However, in Chuck Norris' case, the 'pie' was the molten crater of an active volcano.|NULL
Chuck Norris uses 8'x10' sheets of plywood as toilet paper.|NULL
Noah was the only man notified before Chuck Norris relieved himself in the Atlantic Ocean.|NULL
MacGyver immediately tried to make a bomb out of some Q-Tips and Gatorade, but Chuck Norris roundhouse-kicked him in the solar plexus. MacGyver promptly threw up his own heart.|NULL
Jack Bauer tried to use his detailed knowledge of torture techniques, but to no avail: Chuck Norris thrives on pain. Chuck Norris then ripped off Jack Bauer's arm and beat him to death with it. Game, set, match.|NULL
Chuck Norris eats steak for every single meal. Most times he forgets to kill the cow.|NULL
The First Law of Thermodynamics states that energy can neither be created nor destroyed... unless it meets Chuck Norris.|NULL
Chuck Norris doesn't go on the internet, he has every internet site stored in his memory. He refreshes webpages by blinking.|NULL
Fact: Chuck Norris doesn't consider it sex if the woman survives.|NULL
It is said that looking into Chuck Norris' eyes will reveal your future. Unfortunately, everybody's future is always the same: death by a roundhouse-kick to the face.|NULL
Chuck Norris knows everything there is to know - Except for the definition of mercy.|NULL
Scientifically speaking, it is impossible to charge Chuck Norris with 'obstruction of justice.' This is because even Chuck Norris cannot be in two places at the same time.|NULL
Chuck Norris never has to wax his skis because they're always slick with blood.|NULL
When you say 'no one's perfect', Chuck Norris takes this as a personal insult.|NULL
Chuck Norris can win a game of Trivial Pursuit with one roll of the dice, and without answering a single question... just a nod of the head, and a stroke of the beard.|NULL
182,000 Americans die from Chuck Norris-related accidents every year.|NULL
Paper beats rock, rock beats scissors, and scissors beats paper, but Chuck Norris beats all 3 at the same time.|NULL
Jesus can walk on water, but Chuck Norris can walk on Jesus.|NULL
All roads lead to Chuck Norris. And by the transitive property, a roundhouse kick to the face.|NULL
July 4th is Independence day. And the day Chuck Norris was born. Coincidence? I think not.|NULL
Chuck Norris never goes to the dentist because his teeth are unbreakable. His enemies never go to the dentist because they have no teeth.|NULL
In the medical community, death is referred to as 'Chuck Norris Disease'|NULL
Chuck Norris was once in a knife fight, and the knife lost.|NULL
If you work in an office with Chuck Norris, don't ask him for his three-hole-punch.|NULL
In the Words of Julius Caesar, 'Veni, Vidi, Vici, Chuck Norris'. Translation: I came, I saw, and I was roundhouse-kicked inthe face by Chuck Norris.|NULL
The First rule of Chuck Norris is: you do not talk about Chuck Norris.|NULL
Chuck Norris is widely predicted to be first black president. If you're thinking to yourself, 'But Chuck Norris isn't black', then you are dead wrong. And stop being a racist.|NULL
When Chuck Norris plays Monopoly, it affects the actual world economy.|NULL
Chuck Norris can be unlocked on the hardest level of Tekken. But only Chuck Norris is skilled enough to unlock himself. Then he roundhouse kicks the Playstation back to Japan.|NULL
Chuck Norris drinks napalm to quell his heartburn.|NULL
Every time someone uses the word 'intense', Chuck Norris always replies 'you know what else is intense?' followed by a roundhouse kick to the face.|NULL
As an infant, Chuck Norris' parents gave him a toy hammer. He gave the world Stonehenge.|NULL
Chuck Norris once ordered a steak in a restaurant. The steak did what it was told.|NULL
Most people fear the Reaper. Chuck Norris considers him 'a promising Rookie'.|NULL
